Date,Open,High,Low,Close,Adj Close,Volume
2019-02-07,1.136635,1.137010,1.132605,1.136596,1.136596,0
2019-02-08,1.133993,1.135100,1.132182,1.133877,1.133877,0
2019-02-11,1.132426,1.133144,1.127345,1.132426,1.132426,0
2019-02-12,1.128032,1.131990,1.125885,1.127904,1.127904,0
2019-02-13,1.133273,1.134430,1.128286,1.133466,1.133466,0
2019-02-14,1.126405,1.130825,1.125062,1.126494,1.126494,0
2019-02-15,1.129471,1.129816,1.123495,1.129535,1.129535,0
2019-02-18,1.129484,1.133414,1.129484,1.129803,1.129803,0
2019-02-19,1.131209,1.134185,1.127701,1.131196,1.131196,0
2019-02-20,1.134301,1.136958,1.132593,1.134301,1.134301,0
2019-02-21,1.134636,1.136583,1.132259,1.134636,1.134636,0
2019-02-22,1.133980,1.135576,1.131875,1.134301,1.134301,0
2019-02-25,1.134018,1.136751,1.133800,1.134224,1.134224,0
2019-02-26,1.136622,1.137864,1.134649,1.136751,1.136751,0
2019-02-27,1.139419,1.140381,1.136389,1.139315,1.139315,0
2019-02-28,1.137786,1.142204,1.136080,1.138019,1.138019,0
2019-03-01,1.137255,1.140888,1.135435,1.137346,1.137346,0
2019-03-04,1.137527,1.137527,1.131055,1.137592,1.137592,0
2019-03-05,1.133825,1.133915,1.129318,1.133735,1.133735,0
2019-03-06,1.130621,1.132503,1.129165,1.130710,1.130710,0
2019-03-07,1.131247,1.131990,1.120875,1.131401,1.131401,0
2019-03-08,1.120197,1.124455,1.118606,1.119833,1.119833,0
2019-03-11,1.123103,1.125746,1.122259,1.123242,1.123242,0
2019-03-12,1.125885,1.129433,1.125024,1.125923,1.125923,0
2019-03-13,1.128681,1.131375,1.127904,1.128745,1.128745,0
2019-03-14,1.133286,1.133594,1.129471,1.133106,1.133106,0
2019-03-15,1.130761,1.134301,1.130224,1.130838,1.130838,0
2019-03-18,1.131990,1.135976,1.123469,1.131977,1.131977,0
2019-03-19,1.133556,1.136364,1.133427,1.133620,1.133620,0
2019-03-20,1.135306,1.136751,1.133645,1.135486,1.135486,0
2019-03-21,1.143001,1.143995,1.135512,1.142792,1.142792,0
2019-03-22,1.137398,1.139212,1.127561,1.137501,1.137501,0
2019-03-25,1.129612,1.133170,1.129050,1.129586,1.129586,0
2019-03-26,1.131452,1.132888,1.127955,1.131580,1.131580,0
2019-03-27,1.127447,1.128554,1.124265,1.127485,1.127485,0
2019-03-28,1.125138,1.126300,1.121516,1.125176,1.125176,0
2019-03-29,1.122952,1.124606,1.121089,1.123002,1.123002,0
2019-04-01,1.122347,1.125024,1.120988,1.122385,1.122385,0
2019-04-02,1.120599,1.121401,1.118456,1.120574,1.120574,0
2019-04-03,1.120285,1.125500,1.120247,1.120385,1.120385,0
2019-04-04,1.124531,1.124986,1.120925,1.124695,1.124695,0
2019-04-05,1.122460,1.124151,1.121164,1.122586,1.122586,0
2019-04-08,1.122208,1.127408,1.121554,1.121957,1.121957,0
2019-04-09,1.125644,1.128796,1.125644,1.125644,1.125644,0
2019-04-10,1.126494,1.128286,1.123103,1.126697,1.126697,0
2019-04-11,1.127612,1.128745,1.125606,1.127650,1.127650,0
2019-04-12,1.125936,1.132503,1.125834,1.126075,1.126075,0
2019-04-15,1.130365,1.132246,1.129943,1.130506,1.130506,0
2019-04-16,1.130442,1.131500,1.128605,1.130493,1.130493,0
2019-04-17,1.128515,1.132375,1.128184,1.128503,1.128503,0
2019-04-18,1.130071,1.130600,1.123772,1.129714,1.129714,0
2019-04-19,1.123608,1.125113,1.123305,1.123595,1.123595,0
2019-04-22,1.124455,1.126380,1.123671,1.124455,1.124455,0
2019-04-23,1.125885,1.126126,1.119344,1.125898,1.125898,0
2019-04-24,1.122448,1.122460,1.118306,1.122435,1.122435,0
2019-04-25,1.115698,1.116400,1.112174,1.115349,1.115349,0
2019-04-26,1.113710,1.117281,1.112298,1.113685,1.113685,0
2019-04-29,1.114902,1.116994,1.114554,1.115026,1.115026,0
2019-04-30,1.118418,1.122965,1.117656,1.118518,1.118518,0
2019-05-01,1.121831,1.124999,1.121441,1.121604,1.121604,0
2019-05-02,1.120185,1.121818,1.117356,1.120084,1.120084,0
2019-05-03,1.117256,1.120072,1.114132,1.117356,1.117356,0
2019-05-06,1.118706,1.120448,1.117993,1.118581,1.118581,0
2019-05-07,1.120448,1.121957,1.117606,1.120185,1.120185,0
2019-05-08,1.118956,1.121500,1.118956,1.119107,1.119107,0
2019-05-09,1.119746,1.125100,1.117568,1.119833,1.119833,0
2019-05-10,1.121856,1.125239,1.121856,1.122208,1.122208,0
2019-05-13,1.123671,1.126342,1.122410,1.123646,1.123646,0
2019-05-14,1.123242,1.124606,1.120486,1.123255,1.123255,0
2019-05-15,1.120360,1.122272,1.118043,1.120448,1.120448,0
2019-05-16,1.120951,1.122435,1.117431,1.120724,1.120724,0
2019-05-17,1.117481,1.118443,1.115735,1.117356,1.117356,0
2019-05-20,1.116532,1.117701,1.115126,1.116532,1.116532,0
2019-05-21,1.116944,1.118318,1.114243,1.116857,1.116857,0
2019-05-22,null,null,null,null,null,null
2019-05-23,1.115511,1.117281,1.110951,1.115548,1.115548,0
2019-05-24,1.118381,1.121202,1.117805,1.118456,1.118456,0
2019-05-27,1.120636,1.121831,1.118806,1.120963,1.120963,0
2019-05-28,1.119357,1.119946,1.117181,1.119382,1.119382,0
2019-05-29,1.117069,1.117568,1.112595,1.117069,1.117069,0
2019-05-30,1.113834,1.114604,1.111852,1.113735,1.113735,0
2019-05-31,1.112991,1.117943,1.112656,1.113115,1.113115,0
2019-06-03,1.117343,1.121100,1.116221,1.117406,1.117406,0
2019-06-04,1.124556,1.127777,1.122776,1.124632,1.124632,0
2019-06-05,1.125505,1.130454,1.123987,1.125404,1.125404,0
2019-06-06,1.122725,1.130787,1.122385,1.122902,1.122902,0
2019-06-07,1.127548,1.134816,1.125315,1.127650,1.127650,0
2019-06-10,1.131900,1.132695,1.129203,1.132016,1.132016,0
2019-06-11,1.131836,1.133273,1.130480,1.131811,1.131811,0
2019-06-12,1.132939,1.134301,1.130851,1.132952,1.132952,0
2019-06-13,1.129305,1.130500,1.127116,1.129561,1.129561,0
2019-06-14,1.127955,1.129050,1.121504,1.128044,1.128044,0
2019-06-17,1.121604,1.124600,1.120536,1.121705,1.121705,0
2019-06-18,1.122712,1.124400,1.118230,1.122460,1.122460,0
2019-06-19,1.119746,1.122208,1.118869,1.119821,1.119821,0
2019-06-20,1.123583,1.131516,1.123583,1.123848,1.123848,0
2019-06-21,1.129318,1.133337,1.128363,1.129561,1.129561,0
2019-06-24,1.138304,1.140121,1.137385,1.138472,1.138472,0
2019-06-25,1.140017,1.141396,1.137838,1.140030,1.140030,0
2019-06-26,1.136855,1.138952,1.135087,1.136997,1.136997,0
2019-06-27,1.137462,1.138304,1.134842,1.137475,1.137475,0
2019-06-28,1.137139,1.139341,1.136131,1.137294,1.137294,0
2019-07-01,1.136364,1.136751,1.130569,1.136493,1.136493,0
2019-07-02,1.128706,1.132105,1.127675,1.128745,1.128745,0
2019-07-03,1.129089,1.130531,1.127040,1.129305,1.129305,0
2019-07-04,1.128796,1.129816,1.127434,1.128796,1.128796,0
2019-07-05,1.128605,1.128796,1.120825,1.128579,1.128579,0
2019-07-08,1.122788,1.123722,1.120838,1.122738,1.122738,0
2019-07-09,1.121479,1.122208,1.119532,1.121604,1.121604,0
2019-07-10,1.120461,1.126300,1.120260,1.120825,1.120825,0
2019-07-11,1.126126,1.128796,1.125176,1.125885,1.125885,0
2019-07-12,1.125024,1.127800,1.123974,1.125239,1.125239,0
2019-07-15,1.127180,1.128599,1.125568,1.127205,1.127205,0
2019-07-16,1.126088,1.126634,1.120900,1.126177,1.126177,0
2019-07-17,1.121328,1.123343,1.120109,1.121227,1.121227,0
2019-07-18,1.122776,1.124733,1.120624,1.122965,1.122965,0
2019-07-19,1.126152,1.127142,1.121504,1.126152,1.126152,0
2019-07-22,1.121806,1.122712,1.120838,1.121831,1.121831,0
2019-07-23,1.120498,1.121076,1.114964,1.120611,1.120611,0
